,0,1
41,x0_98039,3352716.0445076455
20,x0_98004,1776029.7560004427
12,waterfront,944698.7578412737
42,x0_98040,847433.2431697341
38,x0_98033,686576.1734963326
69,x0_98112,619938.0640295453
21,x0_98005,548231.1107342208
64,x0_98105,367628.2700695265
62,x0_98102,366169.57171836006
24,x0_98008,329095.6424083143
68,x0_98109,316824.759574289
22,x0_98006,316763.8069759108
48,x0_98052,303781.7882542438
74,x0_98119,303294.6653233674
90,x0_98199,264612.2504351095
23,x0_98007,252584.08921656315
63,x0_98103,218665.27057681204
66,x0_98107,194200.41757050238
75,x0_98122,194140.13367059652
70,x0_98115,187258.0292522282
72,x0_98117,186841.2952283502
39,x0_98034,182738.62286360073
59,x0_98075,177195.2517907678
58,x0_98074,175707.53599725929
34,x0_98029,174936.83878288307
71,x0_98116,110944.03712006724
6,grade_code,100146.26618564443
7,view_code,92193.42567397654
46,x0_98050,86544.47839697247
80,x0_98144,79030.02584607783
49,x0_98053,76591.17156784897
57,x0_98072,65863.17015533181
8,condition_code,45780.13092783879
1,bathrooms,45673.739603097616
13,greenbelt,20569.615186267183
79,x0_98136,19963.76459033962
60,x0_98077,7160.269719245844
31,x0_98024,1042.6246403355872
2,sqft_living,244.00423256043769
3,sqft_above,221.63691768975553
10,sqft_patio,59.687070597196
4,sqft_lot,0.5015509574132011
9,sqft_garage,-10.915592037606984
11,yr_built,-658.1019499413669
15,heat_source,-3887.586378174601
86,x0_98177,-4354.891252119283
76,x0_98125,-5692.316816135019
26,x0_98011,-17214.553196044522
32,x0_98027,-33741.0040578685
16,sewer_system,-34783.85484367935
77,x0_98126,-43175.191203986295
14,nuisance,-43504.05933228508
83,x0_98155,-50994.48743088695
78,x0_98133,-73299.40845975268
0,bedrooms,-73679.26466025341
73,x0_98118,-85136.96920631621
67,x0_98108,-90559.54833703037
33,x0_98028,-95481.13381541004
65,x0_98106,-134603.44915070347
5,floors,-137411.93931256802
51,x0_98056,-146324.8772181798
81,x0_98146,-156552.14592631883
55,x0_98065,-158287.4472529844
54,x0_98059,-208827.89177991555
85,x0_98168,-248962.02116056354
52,x0_98057,-250041.4628840711
28,x0_98019,-263088.01923269127
87,x0_98178,-269657.77698872075
44,x0_98045,-286246.45521769836
84,x0_98166,-309337.1727196644
27,x0_98014,-325808.73337021
45,x0_98047,-331731.2128019373
82,x0_98148,-333332.06821233494
91,x0_98224,-343506.40745882114
50,x0_98055,-346028.7297828282
18,x0_98002,-360897.38843587565
88,x0_98188,-373828.6769402044
89,x0_98198,-374054.8447561506
37,x0_98032,-389503.2470596328
36,x0_98031,-392787.41764287604
53,x0_98058,-395609.52109695197
40,x0_98038,-400403.77453704877
19,x0_98003,-423768.67484465474
35,x0_98030,-442530.657606515
43,x0_98042,-452963.18449151225
17,x0_98001,-454571.2011517583
56,x0_98070,-468397.80013318453
29,x0_98022,-493947.13672666845
30,x0_98023,-502540.3291570773
47,x0_98051,-528048.3723760726
61,x0_98092,-540077.8873768006
25,x0_98010,-546202.6634998586
92,x0_98288,-638384.020917273
